Date,Open,High,Low,Price,Adj. Close,Vol.,Change %
25-Dec-19,4355.78,4388.03,4352.88,4376.68,,8.14B,0.33%
24-Dec-19,4321.72,4362.77,4313.49,4362.27,,7.77B,1.16%
23-Dec-19,4372.33,4393.69,4309.43,4312.18,,9.47B,-1.61%
20-Dec-19,4410.97,4427.59,4382.23,4382.53,,9.71B,-0.56%
19-Dec-19,4409.55,4415.75,4388.71,4407.10,,9.72B,-0.01%
18-Dec-19,4410.85,4438.26,4395.84,4407.48,,12.02B,-0.14%
17-Dec-19,4348.52,4434.64,4345.04,4413.67,,15.47B,1.50%
16-Dec-19,4303.10,4348.25,4291.25,4348.25,,12.62B,1.42%
13-Dec-19,4252.05,4291.84,4245.12,4287.47,,10.87B,1.77%
12-Dec-19,4226.72,4234.15,4207.22,4212.91,,7.40B,-0.22%
11-Dec-19,4244.21,4250.46,4211.88,4222.06,,8.55B,-0.61%
10-Dec-19,4221.50,4247.97,4211.33,4247.97,,8.02B,0.36%
9-Dec-19,4253.04,4256.10,4223.42,4232.88,,8.22B,-0.16%
6-Dec-19,4208.54,4239.49,4203.61,4239.49,,7.04B,0.80%
5-Dec-19,4173.39,4214.21,4166.19,4206.05,,7.76B,1.13%
4-Dec-19,4132.20,4165.87,4127.50,4159.22,,6.65B,0.33%
3-Dec-19,4117.25,4145.39,4091.94,4145.39,,6.02B,0.52%
2-Dec-19,4124.67,4143.34,4114.88,4124.09,,6.02B,0.23%
29-Nov-19,4132.44,4139.39,4076.13,4114.68,,5.98B,-0.53%
28-Nov-19,4149.87,4161.75,4124.31,4136.49,,5.71B,-0.29%
27-Nov-19,4147.12,4167.73,4121.70,4148.44,,7.09B,-0.37%
26-Nov-19,4153.70,4169.02,4130.10,4163.67,,8.62B,0.65%
25-Nov-19,4132.36,4140.10,4086.65,4136.71,,7.80B,0.11%
22-Nov-19,4204.78,4240.14,4108.53,4132.23,,8.04B,-1.50%
21-Nov-19,4196.11,4214.31,4177.51,4195.27,,5.64B,-0.39%
20-Nov-19,4248.82,4256.61,4206.79,4211.84,,7.11B,-0.90%
19-Nov-19,4179.77,4250.29,4175.15,4250.29,,6.96B,1.75%
18-Nov-19,4142.88,4182.48,4138.04,4177.08,,6.19B,0.69%
15-Nov-19,4190.02,4203.42,4148.29,4148.29,,6.89B,-1.03%
14-Nov-19,4169.88,4200.86,4162.87,4191.50,,7.06B,0.55%
13-Nov-19,4163.63,4174.60,4139.52,4168.73,,5.40B,0.24%
12-Nov-19,4162.47,4174.05,4118.12,4158.86,,6.35B,-0.16%
11-Nov-19,4221.77,4222.02,4158.04,4165.48,,7.08B,-2.07%
8-Nov-19,4291.14,4301.65,4251.54,4253.67,,7.65B,-0.17%
7-Nov-19,4232.67,4272.22,4226.54,4260.75,,6.92B,0.56%
6-Nov-19,4276.48,4276.48,4223.85,4237.01,,7.20B,-0.79%
5-Nov-19,4248.57,4292.15,4232.89,4270.89,,7.72B,0.71%
4-Nov-19,4225.00,4257.58,4225.00,4240.78,,7.34B,0.65%
1-Nov-19,4131.40,4218.67,4124.19,4213.23,,6.70B,1.86%
31-Oct-19,4169.35,4172.73,4132.11,4136.35,,6.91B,-0.45%
30-Oct-19,4164.31,4172.76,4138.34,4155.02,,7.15B,-0.60%
29-Oct-19,4201.87,4209.25,4180.26,4180.26,,8.82B,-0.38%
28-Oct-19,4166.75,4198.03,4158.25,4196.39,,8.89B,1.26%
25-Oct-19,4100.65,4145.78,4077.70,4144.10,,6.25B,1.17%
24-Oct-19,4102.30,4116.01,4071.89,4096.01,,5.43B,-0.11%
23-Oct-19,4131.19,4136.12,4091.69,4100.36,,5.72B,-0.77%
22-Oct-19,4110.84,4132.41,4097.08,4132.29,,5.94B,0.87%
21-Oct-19,4082.69,4100.29,4062.57,4096.79,,5.80B,0.36%
18-Oct-19,4138.36,4155.96,4074.94,4082.21,,6.74B,-1.12%
17-Oct-19,4133.62,4138.93,4116.40,4128.50,,5.62B,0.07%
16-Oct-19,4140.35,4160.15,4122.62,4125.73,,6.61B,-0.28%
15-Oct-19,4172.61,4172.61,4131.53,4137.36,,7.66B,-1.04%
14-Oct-19,4171.34,4206.73,4158.03,4180.84,,9.14B,1.17%
11-Oct-19,4124.36,4148.45,4095.69,4132.37,,7.38B,0.40%
10-Oct-19,4058.31,4118.15,4047.47,4116.01,,7.18B,1.38%
9-Oct-19,4037.02,4061.08,4009.68,4059.91,,6.08B,0.23%
8-Oct-19,4051.37,4085.82,4048.75,4050.46,,6.51B,0.30%
30-Sep-19,4077.85,4095.09,4037.84,4038.46,,6.14B,-1.05%
27-Sep-19,4048.58,4091.19,4045.14,4081.27,,6.93B,0.88%
26-Sep-19,4139.12,4143.02,4045.66,4045.66,,8.85B,-1.97%
25-Sep-19,4164.16,4164.16,4118.59,4126.79,,8.99B,-1.33%
24-Sep-19,4170.35,4217.72,4160.24,4182.37,,9.31B,0.32%
23-Sep-19,4200.40,4200.40,4136.20,4169.15,,8.74B,-1.03%
20-Sep-19,4207.80,4222.00,4191.69,4212.62,,8.73B,0.35%
19-Sep-19,4173.53,4198.09,4150.89,4198.09,,7.87B,0.97%
18-Sep-19,4153.20,4172.12,4135.33,4157.94,,7.27B,0.36%
17-Sep-19,4210.97,4210.97,4126.12,4142.95,,9.53B,-1.89%
16-Sep-19,4243.17,4243.51,4205.32,4222.68,,9.03B,-0.16%
12-Sep-19,4212.99,4238.63,4194.47,4229.48,,8.71B,0.74%
11-Sep-19,4257.26,4263.17,4189.91,4198.27,,11.07B,-1.19%
10-Sep-19,4268.74,4268.74,4223.13,4249.00,,11.77B,-0.41%
9-Sep-19,4231.47,4266.56,4207.64,4266.56,,13.11B,1.68%
6-Sep-19,4199.76,4202.65,4161.22,4195.97,,10.41B,0.41%
5-Sep-19,4167.36,4227.85,4167.23,4178.81,,14.59B,0.82%
4-Sep-19,4106.69,4144.79,4097.91,4144.79,,10.60B,0.69%
3-Sep-19,4100.96,4116.22,4080.91,4116.22,,9.56B,0.62%
2-Sep-19,4019.85,4098.90,4017.86,4090.87,,9.45B,2.10%
30-Aug-19,4039.33,4056.65,3981.96,4006.62,,8.74B,-0.12%
29-Aug-19,4025.09,4028.70,3994.71,4011.31,,7.67B,-0.17%
28-Aug-19,4030.18,4032.89,3998.74,4018.23,,7.87B,-0.18%
27-Aug-19,3979.64,4059.12,3979.64,4025.55,,10.01B,1.86%
