Date,Price,Open,High,Low,Vol.,Change %
1/5/2015,4421.51,4327.87,4441.29,4319.82,123.27K,2.84%
1/6/2015,4486.99,4393.35,4498.35,4373.15,115.77K,1.48%
1/7/2015,4473.03,4476.69,4503.14,4440.58,89.85K,-0.31%
1/8/2015,4438.95,4471.39,4486.26,4409.36,85.76K,-0.76%
1/9/2015,4404.11,4422.60,4516.48,4402.90,86.16K,-0.78%
1/12/2015,4392.15,4387.93,4419.56,4344.22,73.03K,-0.27%
1/13/2015,4437.95,4385.85,4456.01,4385.85,63.63K,1.04%
1/14/2015,4404.55,4436.26,4453.84,4376.96,58.98K,-0.75%
1/15/2015,4463.94,4403.03,4464.03,4392.43,60.16K,1.35%
1/16/2015,4518.85,4468.82,4528.06,4466.29,73.47K,1.23%
1/19/2015,4303.26,4345.33,4455.53,4251.66,96.58K,-4.77%
1/20/2015,4429.85,4310.64,4432.88,4310.64,87.40K,2.94%
1/21/2015,4554.68,4452.28,4558.53,4446.33,98.26K,2.82%
1/22/2015,4606.90,4554.54,4611.24,4547.97,85.93K,1.15%
1/23/2015,4565.30,4615.28,4623.42,4546.56,81.84K,-0.90%
1/26/2015,4664.17,4588.63,4668.48,4584.51,88.04K,2.17%
1/27/2015,4652.02,4667.32,4683.46,4580.19,96.12K,-0.26%
1/28/2015,4593.91,4632.89,4653.29,4580.31,74.10K,-1.25%
1/29/2015,4559.30,4545.22,4587.37,4532.75,72.77K,-0.75%
1/30/2015,4511.51,4570.66,4591.24,4511.19,67.53K,-1.05%
2/2/2015,4468.55,4450.77,4521.93,4441.11,61.05K,-0.95%
2/3/2015,4568.57,4500.21,4570.00,4500.21,66.40K,2.24%
2/4/2015,4541.38,4579.55,4604.70,4540.17,72.32K,-0.60%
2/5/2015,4523.67,4604.46,4625.26,4523.67,83.22K,-0.39%
2/6/2015,4426.38,4513.38,4526.27,4402.55,67.73K,-2.15%
2/9/2015,4425.19,4421.82,4465.20,4413.05,57.40K,-0.03%
2/10/2015,4522.90,4429.98,4522.90,4428.12,53.10K,2.21%
2/11/2015,4578.26,4532.73,4590.65,4532.73,64.44K,1.22%
2/12/2015,4601.44,4583.20,4613.20,4564.31,64.41K,0.51%
2/13/2015,4663.59,4624.75,4694.95,4624.75,78.17K,1.35%
2/16/2015,4755.15,4679.57,4758.12,4679.57,77.76K,1.96%
2/17/2015,4786.17,4777.00,4799.71,4767.46,68.01K,0.65%
2/25/2015,4740.27,4802.45,4803.25,4725.53,68.47K,-0.96%
2/26/2015,4809.11,4736.97,4809.11,4731.46,75.73K,1.45%
2/27/2015,4843.69,4807.79,4856.92,4803.75,80.35K,0.72%
3/2/2015,4926.66,4885.15,4927.33,4860.66,109.97K,1.71%
3/3/2015,4838.64,4902.87,4918.98,4835.09,113.75K,-1.79%
3/4/2015,4914.02,4842.89,4918.18,4842.89,96.17K,1.56%
3/5/2015,4898.70,4908.28,4917.58,4866.57,93.22K,-0.31%
3/6/2015,4818.28,4908.16,4917.97,4815.77,82.78K,-1.64%
3/9/2015,4876.34,4783.65,4876.34,4752.42,76.49K,1.20%
3/10/2015,4926.23,4874.99,4952.40,4871.50,80.52K,1.02%
3/11/2015,4909.63,4929.71,4951.08,4895.91,75.48K,-0.34%
3/12/2015,4921.15,4929.78,4938.64,4893.51,80.63K,0.23%
3/13/2015,4975.15,4938.75,4975.15,4934.46,77.20K,1.10%
3/16/2015,5119.99,5010.46,5120.04,5005.82,106.81K,2.91%
3/17/2015,5169.46,5145.89,5182.13,5111.08,136.28K,0.97%
3/18/2015,5271.82,5175.03,5272.89,5162.42,14.90B,1.98%
3/19/2015,5276.51,5287.20,5292.60,5228.07,13.73B,0.09%
3/20/2015,5335.66,5281.84,5347.59,5275.92,13.61B,1.12%
3/23/2015,5466.04,5372.74,5466.04,5372.74,14.14B,2.44%
3/24/2015,5514.30,5490.06,5520.54,5345.56,17.06B,0.88%
3/25/2015,5536.00,5516.49,5574.47,5486.69,14.32B,0.39%
3/26/2015,5475.34,5516.15,5552.05,5427.12,12.73B,-1.10%
3/27/2015,5547.32,5482.06,5561.96,5472.97,10.04B,1.31%
3/30/2015,5626.11,5563.09,5643.28,5562.52,13.31B,1.42%
3/31/2015,5639.13,5672.52,5716.33,5621.18,14.99B,0.23%
4/1/2015,5764.57,5650.77,5783.47,5643.65,12.97B,2.22%
4/2/2015,5836.52,5804.48,5838.58,5749.83,13.94B,1.25%
4/3/2015,5905.11,5812.32,5911.84,5792.43,13.85B,1.18%
4/7/2015,6014.07,5953.60,6014.07,5949.13,14.85B,1.85%
4/8/2015,5968.65,6038.44,6040.44,5859.09,15.94B,-0.76%
4/9/2015,5920.27,5982.32,5982.32,5761.51,15.52B,-0.81%
4/10/2015,6051.30,5897.66,6063.53,5866.17,12.78B,2.21%
4/13/2015,6138.29,6083.27,6151.25,6044.89,14.46B,1.44%
4/14/2015,6112.41,6143.38,6177.94,6055.37,14.20B,-0.42%
4/15/2015,5913.31,6098.10,6098.10,5913.31,14.27B,-3.26%
4/16/2015,6018.72,5862.76,6066.17,5828.03,11.67B,1.78%
4/17/2015,6066.01,6076.32,6103.10,6030.67,16.42B,0.79%
4/20/2015,5964.03,6058.96,6119.41,5938.57,18.70B,-1.68%
4/21/2015,6198.77,5981.78,6198.77,5981.78,15.85B,3.94%
4/22/2015,6354.43,6258.01,6358.46,6258.01,17.67B,2.51%
4/23/2015,6416.42,6403.35,6463.75,6341.58,18.31B,0.98%
4/24/2015,6398.60,6365.59,6437.85,6302.03,17.04B,-0.28%
4/27/2015,6467.90,6469.83,6523.97,6403.24,16.13B,1.08%
4/28/2015,6327.16,6497.69,6507.09,6267.28,15.84B,-2.18%
4/29/2015,6453.28,6314.25,6464.27,6288.04,12.88B,1.99%
4/30/2015,6473.86,6488.46,6549.01,6473.86,12.66B,0.32%
5/4/2015,6495.91,6502.30,6526.39,6427.59,12.74B,0.34%
5/5/2015,6255.92,6485.66,6486.09,6218.17,14.30B,-3.69%
5/6/2015,6218.93,6288.84,6411.68,6174.63,12.13B,-0.59%
5/7/2015,6143.96,6190.42,6239.65,6127.22,10.32B,-1.21%
5/8/2015,6366.05,6210.89,6366.15,6206.56,11.22B,3.61%
5/11/2015,6630.33,6429.67,6631.41,6387.97,14.15B,4.15%
5/12/2015,6743.41,6655.95,6745.97,6616.07,14.35B,1.71%
5/13/2015,6789.96,6714.31,6856.88,6654.40,15.43B,0.69%
5/14/2015,6767.87,6805.74,6855.01,6733.28,15.19B,-0.33%
5/15/2015,6688.27,6744.92,6754.62,6615.85,13.71B,-1.18%
5/18/2015,6785.20,6674.21,6811.88,6663.08,12.19B,1.45%
5/19/2015,6967.89,6819.12,6985.10,6780.26,13.23B,2.69%
5/20/2015,7055.39,7005.17,7186.29,7005.17,15.95B,1.26%
5/21/2015,7291.40,7083.26,7291.48,7083.26,14.47B,3.35%
5/22/2015,7373.86,7385.70,7433.96,7239.70,18.65B,1.13%
5/25/2015,7515.75,7307.88,7522.14,7275.61,18.58B,1.92%
5/26/2015,7764.35,7559.60,7764.68,7526.62,20.95B,3.31%
5/27/2015,7779.44,7801.90,7828.52,7630.70,20.32B,0.19%
5/28/2015,7291.49,7774.12,7863.62,7289.79,24.85B,-6.27%
5/29/2015,7372.71,7302.32,7503.36,7023.32,17.85B,1.11%
6/1/2015,7743.88,7439.83,7747.15,7429.60,15.62B,5.03%
6/2/2015,7994.53,7808.52,7994.53,7768.50,16.40B,3.24%
6/3/2015,8014.32,8061.57,8090.17,7825.02,17.02B,0.25%
6/4/2015,7999.43,8037.80,8049.44,7508.40,17.73B,-0.19%
6/5/2015,8053.50,8103.46,8177.67,7893.80,19.84B,0.68%
6/8/2015,7993.85,8050.65,8050.65,7830.04,19.28B,-0.74%
6/9/2015,7965.06,7981.62,8069.96,7870.21,16.44B,-0.36%
6/10/2015,8078.26,7917.34,8159.32,7857.33,16.33B,1.42%
6/11/2015,8155.95,8083.10,8157.82,8037.68,15.43B,0.96%
6/12/2015,8233.84,8193.83,8279.66,8160.72,17.05B,0.96%
6/15/2015,8053.81,8270.71,8285.57,8038.07,18.75B,-2.19%
6/16/2015,7777.70,7961.68,7964.24,7699.80,15.98B,-3.43%
6/17/2015,7918.50,7776.48,7951.67,7548.09,13.70B,1.81%
6/18/2015,7601.31,7898.58,7932.06,7594.47,12.08B,-4.01%
6/19/2015,7151.39,7452.28,7542.86,7142.61,14.01B,-5.92%
6/23/2015,7323.97,7151.71,7325.15,6815.31,13.77B,2.41%
6/24/2015,7438.40,7381.24,7449.36,7234.71,16.71B,1.56%
6/25/2015,7155.42,7469.03,7482.25,7073.26,16.14B,-3.80%
6/26/2015,6562.49,6935.56,6954.91,6520.91,15.28B,-8.29%
6/29/2015,6205.01,6706.19,6710.97,6040.22,18.40B,-5.45%
6/30/2015,6577.29,6083.65,6583.76,5831.52,18.31B,6.00%
7/1/2015,6267.82,6503.93,6738.51,6234.21,16.95B,-4.71%
7/2/2015,5945.75,6278.93,6315.24,5842.47,16.22B,-5.14%
7/3/2015,5639.96,5754.56,6066.93,5490.87,16.26B,-5.14%
7/6/2015,5589.82,6070.97,6070.97,5339.72,20.52B,-0.89%
7/7/2015,5256.87,5393.86,5451.87,5201.66,15.71B,-5.96%
7/8/2015,5075.48,5002.69,5119.07,4991.10,18.09B,-3.45%
7/9/2015,5315.79,5035.52,5317.56,5018.49,10.41B,4.73%
7/10/2015,5584.82,5420.45,5599.34,5401.82,9.49B,5.06%
7/13/2015,5868.02,5737.93,5893.71,5681.88,12.82B,5.07%
7/14/2015,5893.60,5936.93,6081.06,5848.51,13.93B,0.44%
7/15/2015,5603.28,5912.63,5921.39,5583.18,16.54B,-4.93%
7/16/2015,5712.45,5531.76,5828.86,5374.34,13.93B,1.95%
7/17/2015,6017.59,5763.17,6064.75,5750.10,14.11B,5.34%
7/20/2015,6094.19,6063.97,6204.04,5974.68,15.72B,1.27%
7/21/2015,6137.27,6015.70,6199.09,5964.29,13.10B,0.71%
7/22/2015,6173.92,6127.11,6209.64,6029.67,14.25B,0.60%
7/23/2015,6325.86,6178.10,6343.03,6144.03,16.23B,2.46%
7/24/2015,6205.25,6341.58,6418.63,6160.74,17.40B,-1.91%
7/27/2015,5714.49,6073.78,6226.11,5711.37,15.74B,-7.91%
7/28/2015,5657.83,5490.83,5808.22,5359.85,16.75B,-0.99%
7/29/2015,5892.28,5728.60,5892.32,5564.16,11.94B,4.14%
7/30/2015,5693.43,5868.72,5968.74,5688.44,12.06B,-3.37%
7/31/2015,5704.34,5621.88,5792.71,5621.88,9.78B,0.19%
8/3/2015,5634.65,5614.62,5681.56,5510.33,10.44B,-1.22%
8/4/2015,5876.45,5638.93,5876.45,5607.66,10.38B,4.29%
8/5/2015,5779.80,5868.38,5928.03,5748.79,9.88B,-1.64%
8/6/2015,5725.45,5668.80,5807.34,5648.43,7.09B,-0.94%
8/7/2015,5870.66,5784.07,5881.71,5772.02,8.89B,2.54%
8/10/2015,6117.62,5924.58,6150.08,5898.47,12.65B,4.21%
8/11/2015,6118.86,6122.16,6203.44,6078.73,13.86B,0.02%
8/12/2015,6031.82,6067.49,6154.69,6031.82,10.63B,-1.42%
8/13/2015,6156.67,6014.37,6156.67,5965.35,10.84B,2.07%
8/14/2015,6181.10,6200.07,6252.36,6150.93,12.48B,0.40%
8/17/2015,6233.34,6165.73,6241.51,6118.35,13.20B,0.85%
8/18/2015,5832.74,6248.62,6274.56,5810.50,15.90B,-6.43%
8/19/2015,5961.53,5678.11,5992.07,5556.37,13.09B,2.21%
8/20/2015,5787.91,5919.82,5993.20,5787.65,11.32B,-2.91%
8/21/2015,5482.35,5686.12,5759.88,5479.42,11.13B,-5.28%
8/24/2015,5049.92,5256.01,5276.90,5046.30,9.43B,-7.89%
8/25/2015,4694.47,4702.44,4855.59,4679.52,10.76B,-7.04%
8/26/2015,4563.11,4698.54,4867.54,4506.51,13.79B,-2.80%
8/27/2015,4730.60,4649.45,4730.60,4478.37,11.72B,3.67%
8/28/2015,4976.88,4792.69,4991.24,4752.64,14.05B,5.21%
8/31/2015,4881.83,4929.38,4929.38,4783.37,12.02B,-1.91%
9/1/2015,4737.08,4802.92,4802.92,4609.70,12.26B,-2.97%
9/2/2015,4699.71,4520.05,4798.97,4514.83,12.44B,-0.79%
9/7/2015,4645.45,4722.60,4854.67,4621.33,9.91B,-1.15%
9/8/2015,4785.78,4600.64,4796.71,4528.37,8.11B,3.02%
9/9/2015,4919.27,4804.70,4960.64,4788.19,12.68B,2.79%
9/10/2015,4821.34,4839.90,4913.05,4813.23,8.46B,-1.99%
9/11/2015,4832.26,4815.83,4881.14,4775.26,6.70B,0.23%
9/14/2015,4517.41,4860.51,4871.50,4499.24,9.37B,-6.52%
9/15/2015,4288.85,4408.86,4491.33,4274.60,7.86B,-5.06%
9/16/2015,4568.93,4307.86,4591.14,4292.57,9.11B,6.53%
9/17/2015,4489.09,4556.57,4679.19,4489.09,10.46B,-1.75%
9/18/2015,4537.19,4521.66,4566.81,4470.08,6.90B,1.07%
9/21/2015,4683.44,4484.11,4683.44,4470.03,8.55B,3.22%
9/22/2015,4717.01,4695.52,4771.68,4664.45,9.91B,0.72%
9/23/2015,4659.11,4641.84,4714.80,4621.22,8.67B,-1.23%
9/24/2015,4707.71,4682.22,4731.90,4659.38,7.74B,1.04%
9/25/2015,4555.93,4683.64,4713.26,4523.86,8.24B,-3.22%
9/28/2015,4642.51,4564.90,4647.36,4508.11,5.60B,1.90%
9/29/2015,4558.47,4573.11,4611.26,4523.33,6.21B,-1.81%
9/30/2015,4581.21,4583.51,4606.36,4538.24,5.21B,0.50%
10/8/2015,4761.89,4744.48,4803.51,4711.89,8.58B,3.94%
10/9/2015,4830.21,4758.50,4853.01,4747.74,8.55B,1.43%
10/12/2015,5023.77,4857.30,5072.86,4851.27,13.01B,4.01%
10/13/2015,5052.02,4988.43,5066.65,4972.84,10.38B,0.56%
10/14/2015,4988.65,5030.69,5076.94,4979.58,10.50B,-1.25%
10/15/2015,5138.53,4975.02,5138.55,4975.02,11.53B,3.00%
10/16/2015,5207.61,5171.00,5212.15,5116.21,13.51B,1.34%
10/19/2015,5214.34,5234.50,5267.72,5150.68,13.38B,0.13%
10/20/2015,5308.60,5206.69,5308.74,5191.56,12.30B,1.81%
10/21/2015,5003.33,5304.69,5327.90,4983.45,15.93B,-5.75%
10/22/2015,5174.59,5004.35,5181.15,5000.55,12.04B,3.42%
10/23/2015,5304.03,5213.95,5326.31,5189.06,14.62B,2.50%
10/26/2015,5339.48,5375.90,5385.86,5269.08,14.57B,0.67%
10/27/2015,5366.10,5292.91,5396.24,5128.27,14.36B,0.50%
10/28/2015,5237.79,5332.06,5394.20,5216.33,12.98B,-2.39%
10/29/2015,5270.61,5268.27,5329.98,5201.36,10.15B,0.63%
10/30/2015,5260.07,5259.60,5336.35,5181.47,10.38B,-0.20%
11/2/2015,5152.71,5155.77,5302.08,5138.90,9.74B,-2.04%
11/3/2015,5144.97,5171.94,5204.90,5107.89,7.58B,-0.15%
11/4/2015,5422.64,5173.80,5422.64,5173.80,13.11B,5.40%
11/5/2015,5460.98,5433.65,5539.89,5422.25,18.91B,0.71%
11/6/2015,5616.26,5466.76,5625.89,5466.76,15.81B,2.84%
11/9/2015,5693.97,5601.81,5737.25,5566.12,17.68B,1.38%
11/10/2015,5708.93,5666.74,5761.10,5644.61,16.35B,0.26%
11/11/2015,5780.27,5714.15,5786.96,5679.02,15.00B,1.25%
11/12/2015,5745.93,5806.02,5816.60,5682.09,15.16B,-0.59%
11/13/2015,5637.67,5675.93,5714.03,5583.23,13.05B,-1.88%
11/16/2015,5725.73,5535.47,5725.73,5530.47,10.25B,1.56%
11/17/2015,5678.44,5778.26,5825.60,5662.27,15.43B,-0.83%
11/18/2015,5579.32,5679.34,5710.20,5566.80,11.81B,-1.75%
11/19/2015,5719.30,5601.89,5719.30,5593.12,10.92B,2.51%
11/20/2015,5748.41,5735.39,5778.67,5691.47,13.95B,0.51%
11/23/2015,5700.12,5745.55,5796.73,5680.16,12.11B,-0.84%
11/24/2015,5742.72,5695.61,5742.72,5632.55,9.66B,0.75%
11/25/2015,5825.13,5740.68,5829.82,5725.69,10.92B,1.44%
11/26/2015,5773.28,5852.64,5862.38,5766.01,12.75B,-0.89%
11/27/2015,5406.98,5739.79,5753.38,5371.29,13.86B,-6.34%
11/30/2015,5435.66,5421.29,5477.76,5187.45,11.42B,0.53%
